OF,MT,LT,CC
0.90,3.7,9.5,4
1.20,2.8,5.0,3
2.60,2.9,3.0,2
1.50,4.4,2.5,5.5
1.40,5.7,5.0,6
2.80,4.3,8.0,3
1.50,3.4,5.0,4.5
1.80,2.5,9.0,7.5
2.70,5.1,5.0,6
2.40,1.8,6.0,2
